subfolder,filename,n,m,T_star,Cmax,ratio,time_total,best_objective,best_type,best_gap,best_time
Instanciasde1000a1100,1017.txt,1000,10,100862,103782.0,1.02895,4.553,100867.0,1.0,3.93012,300.0
Instanciasde1000a1100,1018.txt,1000,10,100908,102061.0,1.011426,4.556,100913.0,1.0,2.46031,300.0
Instanciasde1000a1100,1019.txt,1000,10,100914,101912.0,1.00989,4.523,100921.0,1.0,3.71121,300.0
Instanciasde1000a1100,1020.txt,1000,10,100890,101896.0,1.009971,4.396,100894.0,1.0,2.6125,300.0
Instanciasde1000a1100,1021.txt,1000,20,50222,51257.0,1.020608,11.105,50231.0,1.0,8.22999,300.0
Instanciasde1000a1100,1022.txt,1000,20,50218,52212.0,1.039707,13.876,50229.0,1.0,11.0569,300.0
Instanciasde1000a1100,1023.txt,1000,20,50236,51278.0,1.020742,11.087,50245.0,1.0,9.30981,300.0
Instanciasde1000a1100,1024.txt,1000,20,50204,51198.0,1.019799,12.096,50211.0,1.0,6.14654,300.0
Instanciasde1000a1100,1025.txt,1000,20,50213,51214.0,1.019935,12.642,50224.0,1.0,10.2694,300.0
Instanciasde1000a1100,1026.txt,1000,20,50223,51212.0,1.019692,11.233,50238.0,1.0,15.1765,300.0
Instanciasde1000a1100,1027.txt,1000,20,50217,51221.0,1.019993,11.613,50225.0,1.0,8.12248,300.0
Instanciasde1000a1100,1028.txt,1000,20,50218,51224.0,1.020033,12.811,50236.0,1.0,18.2207,300.0
Instanciasde1000a1100,1029.txt,1000,20,50213,51205.0,1.019756,12.412,50225.0,1.0,11.7361,300.0
Instanciasde1000a1100,1030.txt,1000,20,50214,51210.0,1.019835,11.872,50224.0,1.0,9.50448,300.0
Instanciasde1000a1100,1031.txt,1000,30,33436,34138.0,1.020995,22.376,34060.0,1.0,546.168,300.0
Instanciasde1000a1100,1032.txt,1000,30,33428,34151.0,1.021629,20.363,34056.0,1.0,502.345,300.0
Instanciasde1000a1100,1033.txt,1000,30,33426,35084.0,1.049602,25.682,34061.0,1.0,543.969,300.0
Instanciasde1000a1100,1034.txt,1000,30,33425,34123.0,1.020883,21.014,34059.0,1.0,559.773,300.0
Instanciasde1000a1100,1035.txt,1000,30,33432,34123.0,1.020669,19.829,34068.0,1.0,542.149,300.0
Instanciasde1000a1100,1036.txt,1000,30,33427,34132.0,1.021091,25.673,34052.0,1.0,538.855,300.0
Instanciasde1000a1100,1037.txt,1000,30,33426,34118.0,1.020702,19.83,34060.0,1.0,538.679,300.0
Instanciasde1000a1100,1038.txt,1000,30,33431,34138.0,1.021148,21.831,34059.0,1.0,538.604,300.0
Instanciasde1000a1100,1039.txt,1000,30,33424,35094.0,1.049964,26.604,34066.0,1.0,532.051,300.0
Instanciasde1000a1100,1040.txt,1000,30,33425,34137.0,1.021301,26.637,34062.0,1.0,549.715,300.0
Instanciasde1000a1100,1041.txt,1000,40,25051,26060.0,1.040278,35.847,25060.0,1.0,8.7305,300.0
Instanciasde1000a1100,1042.txt,1000,40,25051,27051.0,1.079837,40.104,25058.0,1.0,6.86482,300.0
Instanciasde1000a1100,1043.txt,1000,40,25052,26055.0,1.040037,33.366,25058.0,1.0,6.33155,300.0
Instanciasde1000a1100,1044.txt,1000,40,25049,27048.0,1.079804,44.318,25058.0,1.0,9.35099,300.0
Instanciasde1000a1100,1045.txt,1000,40,25050,26057.0,1.0402,35.196,25056.0,1.0,6.63775,300.0
Instanciasde1000a1100,1046.txt,1000,40,25050,26055.0,1.04012,36.425,25058.0,1.0,8.23449,300.0
Instanciasde1000a1100,1047.txt,1000,40,25052,26056.0,1.040077,40.157,25060.0,1.0,8.24258,300.0
Instanciasde1000a1100,1048.txt,1000,40,25053,26063.0,1.040315,37.368,25060.0,1.0,7.47449,300.0
Instanciasde1000a1100,1049.txt,1000,40,25054,27084.0,1.081025,34.277,25067.0,1.0,13.6723,300.0
