subfolder,filename,n,m,T_star,Cmax,ratio,time_total,int_in_lp
MaqCorre,214.txt,200,10,777,868.0,1.117117,0.243,189
MaqCorre,215.txt,200,10,583,615.0,1.054889,0.202,186
MaqCorre,216.txt,200,10,1126,1427.0,1.267318,0.289,178
MaqCorre,217.txt,200,10,571,655.0,1.14711,0.244,189
MaqCorre,218.txt,200,10,823,966.0,1.173755,0.284,182
MaqCorre,219.txt,200,10,528,561.0,1.0625,0.242,190
MaqCorre,220.txt,200,10,648,684.0,1.055556,0.191,190
MaqCorre,221.txt,200,20,402,489.0,1.216418,0.505,180
MaqCorre,222.txt,200,20,414,551.0,1.330918,0.491,171
MaqCorre,223.txt,200,20,172,238.0,1.383721,0.449,177
MaqCorre,224.txt,200,20,362,429.0,1.185083,0.605,176
MaqCorre,225.txt,200,20,339,385.0,1.135693,0.399,175
MaqCorre,226.txt,200,20,341,405.0,1.187683,0.49,181
MaqCorre,227.txt,200,20,293,347.0,1.1843,0.428,176
MaqCorre,228.txt,200,20,360,419.0,1.163889,0.439,172
MaqCorre,229.txt,200,20,367,417.0,1.13624,0.511,181
MaqCorre,230.txt,200,20,352,403.0,1.144886,0.473,181
MaqCorre,231.txt,200,30,223,296.0,1.327354,0.879,169
MaqCorre,232.txt,200,30,149,221.0,1.483221,0.76,174
MaqCorre,233.txt,200,30,200,263.0,1.315,0.697,168
MaqCorre,234.txt,200,30,196,265.0,1.352041,0.675,170
MaqCorre,235.txt,200,30,259,307.0,1.185328,0.81,167
MaqCorre,236.txt,200,30,186,277.0,1.489247,0.779,174
MaqCorre,237.txt,200,30,331,487.0,1.471299,0.689,166
MaqCorre,238.txt,200,30,148,221.0,1.493243,0.696,170
MaqCorre,239.txt,200,30,151,199.0,1.317881,0.889,167
MaqCorre,240.txt,200,30,233,279.0,1.197425,0.661,173
MaqCorre,241.txt,200,40,118,184.0,1.559322,1.23,166
MaqCorre,242.txt,200,40,161,214.0,1.329193,1.0,166
MaqCorre,243.txt,200,40,137,207.0,1.510949,1.181,165
MaqCorre,244.txt,200,40,115,168.0,1.46087,1.607,167
MaqCorre,245.txt,200,40,144,192.0,1.333333,0.894,155
MaqCorre,246.txt,200,40,154,203.0,1.318182,0.97,156
MaqCorre,247.txt,200,40,185,238.0,1.286486,1.054,164
MaqCorre,248.txt,200,40,127,202.0,1.590551,1.303,162
MaqCorre,249.txt,200,40,138,197.0,1.427536,1.267,163
MaqCorre,250.txt,200,40,143,201.0,1.405594,0.975,167
MaqCorre,251.txt,200,50,131,192.0,1.465649,1.565,155
MaqCorre,252.txt,200,50,110,197.0,1.790909,1.589,158
MaqCorre,253.txt,200,50,146,204.0,1.39726,1.488,155
MaqCorre,254.txt,200,50,70,108.0,1.542857,0.817,173
MaqCorre,255.txt,200,50,112,193.0,1.723214,1.968,155
MaqCorre,256.txt,200,50,104,184.0,1.769231,1.623,158
MaqCorre,257.txt,200,50,105,201.0,1.914286,1.619,157
MaqCorre,258.txt,200,50,105,187.0,1.780952,1.707,158
MaqCorre,259.txt,200,50,128,204.0,1.59375,1.511,153
MaqCorre,260.txt,200,50,97,191.0,1.969072,1.502,160
MaqCorre,511.txt,500,10,1274,1319.0,1.035322,1.218,485
MaqCorre,512.txt,500,10,2606,2741.0,1.051804,1.244,482
MaqCorre,513.txt,500,10,1911,1982.0,1.037153,0.723,479
MaqCorre,514.txt,500,10,1251,1286.0,1.027978,0.912,489
MaqCorre,515.txt,500,10,2295,2329.0,1.014815,1.154,490
MaqCorre,516.txt,500,10,2113,2164.0,1.024136,0.902,488
MaqCorre,517.txt,500,10,2372,2422.0,1.021079,1.11,489
MaqCorre,518.txt,500,10,2600,2640.0,1.015385,1.479,491
MaqCorre,519.txt,500,10,1142,1247.0,1.091944,0.948,481
MaqCorre,520.txt,500,10,1245,1312.0,1.053815,1.064,485
MaqCorre,521.txt,500,20,653,700.0,1.071975,1.982,478
MaqCorre,522.txt,500,20,722,828.0,1.146814,2.443,471
MaqCorre,523.txt,500,20,817,875.0,1.070991,2.317,477
MaqCorre,524.txt,500,20,602,701.0,1.164452,2.14,469
MaqCorre,525.txt,500,20,1129,1272.0,1.126661,2.149,465
MaqCorre,526.txt,500,20,1258,1578.0,1.254372,2.605,462
MaqCorre,527.txt,500,20,877,931.0,1.061574,1.989,478
MaqCorre,528.txt,500,20,1132,1210.0,1.068905,2.498,477
MaqCorre,529.txt,500,20,447,506.0,1.131991,2.102,480
MaqCorre,530.txt,500,20,431,495.0,1.148492,2.086,481
MaqCorre,531.txt,500,30,407,464.0,1.140049,3.579,471
MaqCorre,532.txt,500,30,521,601.0,1.153551,4.141,468
MaqCorre,533.txt,500,30,473,525.0,1.109937,3.533,463
MaqCorre,534.txt,500,30,417,482.0,1.155875,3.302,469
MaqCorre,535.txt,500,30,422,500.0,1.184834,3.76,466
MaqCorre,536.txt,500,30,357,413.0,1.156863,3.626,463
MaqCorre,537.txt,500,30,518,583.0,1.125483,3.224,469
MaqCorre,538.txt,500,30,625,697.0,1.1152,3.86,466
MaqCorre,539.txt,500,30,449,516.0,1.14922,3.777,469
MaqCorre,540.txt,500,30,624,677.0,1.084936,3.675,466
MaqCorre,541.txt,500,40,297,372.0,1.252525,5.427,461
MaqCorre,542.txt,500,40,306,368.0,1.202614,5.256,454
MaqCorre,543.txt,500,40,357,436.0,1.221289,5.758,453
MaqCorre,544.txt,500,40,301,387.0,1.285714,5.074,453
MaqCorre,545.txt,500,40,293,376.0,1.283276,4.652,464
MaqCorre,546.txt,500,40,381,459.0,1.204724,5.046,461
MaqCorre,547.txt,500,40,409,503.0,1.229829,5.429,461
MaqCorre,548.txt,500,40,312,396.0,1.269231,5.004,463
MaqCorre,549.txt,500,40,439,526.0,1.198178,5.07,461
MaqCorre,550.txt,500,40,342,410.0,1.19883,5.237,463
MaqCorre,551.txt,500,50,173,248.0,1.433526,4.931,453
MaqCorre,552.txt,500,50,281,348.0,1.238434,7.155,445
MaqCorre,553.txt,500,50,267,336.0,1.258427,6.974,454
MaqCorre,554.txt,500,50,234,302.0,1.290598,6.935,453
MaqCorre,555.txt,500,50,307,402.0,1.309446,7.313,447
MaqCorre,556.txt,500,50,181,247.0,1.364641,4.509,444
MaqCorre,557.txt,500,50,329,387.0,1.176292,7.17,455
MaqCorre,558.txt,500,50,281,368.0,1.309609,6.558,451
MaqCorre,559.txt,500,50,225,294.0,1.306667,6.522,455
MaqCorre,560.txt,500,50,240,308.0,1.283333,6.098,456
